epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,32.5551,2.10973,2.73504,2.21566,0.05846,0.49041,0.08011,0.03068,2.42363,3.72277,2.72139,0.000251909,0.000251909,0.000251909
55,33.0943,1.86258,2.53271,2.18906,0.05846,0.49041,0.08011,0.03068,2.42363,3.72277,2.72139,0.000251316,0.000251316,0.000251316
56,33.6349,2.01076,2.90553,2.24566,0.05846,0.49041,0.08011,0.03068,2.42363,3.72277,2.72139,0.000250525,0.000250525,0.000250525
57,34.2132,1.92455,3.05187,2.1684,0.06801,0.49457,0.09606,0.03563,2.47707,3.73056,2.76326,0.000249536,0.000249536,0.000249536
58,34.7562,1.76974,2.30105,2.07146,0.06801,0.49457,0.09606,0.03563,2.47707,3.73056,2.76326,0.000248349,0.000248349,0.000248349
59,35.284,2.24137,2.73333,2.43894,0.06801,0.49457,0.09606,0.03563,2.47707,3.73056,2.76326,0.000246964,0.000246964,0.000246964
60,35.857,2.23813,2.74942,2.31876,0.05792,0.48894,0.10423,0.02881,2.47998,3.68922,2.73331,0.000245381,0.000245381,0.000245381
61,36.4116,2.06944,2.81638,2.20309,0.05792,0.48894,0.10423,0.02881,2.47998,3.68922,2.73331,0.0002436,0.0002436,0.0002436
62,36.958,2.24094,2.59406,2.43729,0.05792,0.48894,0.10423,0.02881,2.47998,3.68922,2.73331,0.000241621,0.000241621,0.000241621
63,37.5538,1.97363,2.72868,2.17196,0.0557,0.48558,0.11916,0.02621,2.57923,3.65536,2.78037,0.000239444,0.000239444,0.000239444
64,38.0931,1.94792,2.37706,2.3346,0.0557,0.48558,0.11916,0.02621,2.57923,3.65536,2.78037,0.000237069,0.000237069,0.000237069
65,38.62,2.48496,3.37832,2.51764,0.0557,0.48558,0.11916,0.02621,2.57923,3.65536,2.78037,0.000234496,0.000234496,0.000234496
66,39.1974,1.82908,2.72281,2.13963,0.05977,0.50409,0.14438,0.0285,2.51847,3.5815,2.73669,0.000231725,0.000231725,0.000231725
67,39.7429,1.81686,2.2624,2.11336,0.05977,0.50409,0.14438,0.0285,2.51847,3.5815,2.73669,0.000228756,0.000228756,0.000228756
68,40.2951,2.1731,2.84241,2.34726,0.05977,0.50409,0.14438,0.0285,2.51847,3.5815,2.73669,0.000225589,0.000225589,0.000225589
69,40.8756,2.03584,2.40018,2.21751,0.05671,0.46177,0.14103,0.04145,2.52189,3.5556,2.72125,0.000222224,0.000222224,0.000222224
70,41.4141,2.06212,2.6552,2.20557,0.05671,0.46177,0.14103,0.04145,2.52189,3.5556,2.72125,0.000218661,0.000218661,0.000218661
71,41.9465,2.09541,2.68346,2.29366,0.05671,0.46177,0.14103,0.04145,2.52189,3.5556,2.72125,0.0002149,0.0002149,0.0002149
72,42.5181,1.85397,2.64142,2.1123,0.07622,0.52156,0.19568,0.07126,2.56836,3.48452,2.75967,0.000210941,0.000210941,0.000210941
73,43.0894,1.92459,2.47208,2.15793,0.07622,0.52156,0.19568,0.07126,2.56836,3.48452,2.75967,0.000206784,0.000206784,0.000206784
74,43.6346,2.18516,2.90749,2.22112,0.07622,0.52156,0.19568,0.07126,2.56836,3.48452,2.75967,0.000202429,0.000202429,0.000202429
75,44.2057,1.76338,2.38155,2.04585,0.08988,0.48829,0.21737,0.09055,2.47868,3.48541,2.71357,0.000197876,0.000197876,0.000197876
76,44.751,2.00673,2.21938,2.15894,0.08988,0.48829,0.21737,0.09055,2.47868,3.48541,2.71357,0.000193125,0.000193125,0.000193125
77,45.2989,1.99175,2.6944,2.19548,0.08988,0.48829,0.21737,0.09055,2.47868,3.48541,2.71357,0.000188176,0.000188176,0.000188176
78,45.8745,1.81634,2.31477,2.13446,0.0896,0.44284,0.19617,0.06992,2.45768,3.40558,2.69746,0.000183029,0.000183029,0.000183029
79,46.4173,1.67039,2.21689,2.06069,0.0896,0.44284,0.19617,0.06992,2.45768,3.40558,2.69746,0.000177684,0.000177684,0.000177684
80,46.9445,2.09119,2.71153,2.26817,0.0896,0.44284,0.19617,0.06992,2.45768,3.40558,2.69746,0.000172141,0.000172141,0.000172141
81,47.5186,1.84468,2.23054,2.07295,0.05944,0.44621,0.19464,0.06592,2.40648,3.36231,2.67996,0.0001664,0.0001664,0.0001664
82,48.0684,1.98901,2.54108,2.18361,0.05944,0.44621,0.19464,0.06592,2.40648,3.36231,2.67996,0.000160461,0.000160461,0.000160461
83,48.608,2.12029,2.77797,2.24356,0.05944,0.44621,0.19464,0.06592,2.40648,3.36231,2.67996,0.000154324,0.000154324,0.000154324
84,49.1899,1.94015,2.47418,2.13691,0.60654,0.17365,0.21813,0.078,2.35735,3.37513,2.62455,0.000147989,0.000147989,0.000147989
